word,reading,pos,known_senses,edo_notes,meiji_notes,polysemy_expectation
花,はな,名詞,"flower; nose; protrusion; peak; cream",Traditional poetic meanings,May expand with Western botanical terms,Expected increase
世,よ,名詞,"world; society; age; generation; era",Classical literary usage,Modern social concepts added,Expected increase
人,ひと,名詞,"person; people; human; mankind",General usage,Individual vs. collective meanings may shift,Moderate change
心,こころ,名詞,"heart; mind; spirit; feelings",Traditional aesthetic usage,Western psychological concepts,Expected increase
時,とき,名詞,"time; moment; hour; occasion",Traditional time concepts,Modern temporal precision,Moderate change
物,もの,名詞,"thing; object; matter; fact",Concrete and abstract meanings,Western material culture terms,Expected increase
所,ところ,名詞,"place; spot; scene; address",Physical and abstract locations,Modern institutional meanings,Moderate change
事,こと,名詞,"thing; matter; fact; circumstance; reason",Abstract concepts,Modern bureaucratic usage,Moderate change
手,て,名詞,"hand; arm; handle; means; worker",Physical and metaphorical,Industrial/mechanical extensions,Moderate change
目,め,名詞,"eye; eyeball; look; experience; viewpoint",Sensory and metaphorical,Modern observational terms,Moderate change
日,ひ,名詞,"day; sun; sunlight; date",Temporal and celestial,Modern calendar/scheduling,Minimal change
言,こと,名詞,"word; speech; language",Literary and oral traditions,Modern linguistic/media terms,Expected increase
色,いろ,名詞,"color; hue; tint; kind; variety; love; lust",Visual and metaphorical,Western color theory terms,Moderate change
気,き,名詞,"spirit; mind; air; atmosphere; mood; intention",Traditional Chinese concepts,Western meteorological/psychological,Expected increase
道,みち,名詞,"road; street; way; path; method; principle",Physical and metaphorical way,Modern infrastructure terms,Moderate change
